의료기관명,소재지,전화번호,병상수,개설일자,구군,종별
엄재활의학과의원,"울산광역시 동구 대학길 43, 4층 (화정동)",052-234-7575,0,2021-09-23,동구,의원
웰빙마취통증의학과의원,"울산광역시 동구 대학길 65, 4층 (화정동)",052-232-2005,0,2005-09-01,동구,의원
한양연합재활의학과의원,"울산광역시 남구 삼산로 243, 3층 (달동)",052-265-5824,0,2022-11-03,남구,의원
화정현대의원,울산광역시 동구 월봉로 14 (화정동),052-251-9944,0,2001-03-02,동구,의원
서울에이치피부과의원,"울산광역시 남구 삼산중로74번길 11, 2~3층 (삼산동)",052-268-9928,0,2014-05-29,남구,의원
굿닥터연합의원,"울산광역시 북구 화산6길 8, S 타워 2층 (화봉동)",052-261-7553,0,2019-08-20,북구,의원
디엔샘내과의원,"울산광역시 남구 삼산로 274, 802호 (삼산동)",052-257-0037,0,2008-04-17,남구,의원
엄피부과의원,"울산광역시 남구 북부순환도로 24, 4층 (무거동)",052-249-5255,0,1998-04-27,남구,의원
윤혜정산부인과의원,"울산광역시 남구 대학로 138, 6층 (무거동, 신정빌딩)",052-277-9595,0,2002-11-25,남구,의원
새신화의원,"울산광역시 남구 옥현로58번길 4, 3층 (무거동)",052-249-2300,0,2002-09-27,남구,의원
굿모닝창문외과의원,"울산광역시 남구 대학로 138, 5층 (무거동, 신정빌딩)",052-249-8275,9,2002-12-02,남구,의원
속튼튼김내과의원,"울산광역시 남구 수암로 134, 7층 (야음동)",052-911-2200,0,2013-06-07,남구,의원
시원한이비인후과의원,"울산광역시 중구 번영로 590, 4층 (남외동)",052-248-1002,0,2012-05-30,중구,의원
현대가정의원,"울산광역시 동구 동해안로 43, 1층 (동부동)",052-236-5888,0,1999-06-01,동구,의원
골프효자손마취통증의학과의원,울산광역시 남구 중앙로 243 (신정동),052-258-8111,0,2004-11-10,남구,의원
박철산부인과의원,울산광역시 울주군 언양읍 헌양길 37 (2층(언양농협)),052-254-2565,5,1999-09-02,울주군,의원
굿모닝이비인후과의원,"울산광역시 남구 남중로 37, 5,6,7층 (삼산동)",052-256-7000,9,2002-03-06,남구,의원
송이비인후과의원,"울산광역시 남구 수암로 134, 2층 (야음동)",052-716-0850,0,2013-09-16,남구,의원
신울산의원,"울산광역시 중구 화합로 409, 2층 (반구동)",052-293-3035,0,2003-10-04,중구,의원
미라인의원,"울산광역시 남구 수암로 134, 4~5층(야음동)",052-994-8275,0,2013-01-07,남구,의원
정내과의원,울산광역시 중구 다운로 47(다운동),052-295-8822,0,2013-09-02,중구,의원
세안안과의원,"울산광역시 남구 문수로 339 (옥동, 옥동업무시설)",052-275-1175,0,2017-07-10,남구,의원
정피부과의원,"울산광역시 남구 삼산로 272, 1201호 (삼산동)",052-707-1234,0,2008-06-05,남구,의원
태경비뇨기과의원,"울산광역시 남구 월평로 50, 4층 (신정동, 대륙빌딩)",052-256-8575,0,2011-04-27,남구,의원
한양정신과의원,울산광역시 중구 새즈믄해거리 6 (성남동),052-244-9649,0,1987-03-07,중구,의원
메디포맨비뇨기과의원,"울산광역시 남구 삼산로 266, 굿모닝클리닉 11층 1102호 (삼산동)",052-276-9111,0,2003-10-16,남구,의원
울산탑정형외과의원,"울산광역시 남구 수암로 130, 8층 (야음동)",052-256-7533,0,2013-12-31,남구,의원
울산연합의원,울산광역시 중구 염포로 19 (남외동),052-294-9626,0,1998-02-28,중구,의원
녹십자의원,울산광역시 남구?수암로?107?(신정동),052-266-2767,0,1991-04-22,남구,의원
강상현내과의원,"울산광역시 남구 삼산로 216, 2층 (달동)",052-716-1152,0,2018-01-03,남구,의원
참사랑의원,"울산광역시 동구 대학길 65, 2층 (화정동)",052-252-7582,0,2008-01-18,동구,의원
김진내과의원,"울산광역시 남구 수암로 230, 3층 (야음동)",052-258-2443,0,2000-04-07,남구,의원
강내과의원,울산광역시 중구 학성로 62-1(성남동),052-244-1110,0,1983-02-08,중구,의원
평화정형외과의원,"울산광역시 울주군 언양읍 헌양길 156, 2층 (남빛빌딩)",052-262-6622,0,2017-05-15,울주군,의원
우림연합의원,"울산광역시 울주군 언양읍 반구대로 820, 2, 3, 4층",052-264-1500,7,2021-11-30,울주군,의원
홍찬의소아청소년과의원,"울산광역시 북구 화산6길 8, S 타워 3층 (화봉동)",052-281-0756,0,2011-03-14,북구,의원
화이트듀의원,울산광역시 남구 삼산로267번길 6-16(삼산동),052-225-8275,0,2008-11-04,남구,의원
큰나무정형외과의원,울산광역시 동구 방어진순환도로 711 (일산동),052-232-8880,27,1997-10-07,동구,의원
박상수소아청소년과의원,울산광역시 중구 태화로 172(태화동),052-246-5090,0,2003-03-20,중구,의원
김동욱내과의원,"울산광역시 남구 삼산로 269, 8층 (삼산동)",052-227-0275,0,2002-03-16,남구,의원
센텀신경외과의원,울산광역시 남구 문수로 376 (옥동),052-271-8833,0,2005-02-02,남구,의원
유호근의원,울산광역시 남구 두왕로190번길 49 (선암동),052-271-0199,0,2005-03-23,남구,의원
윤태권내과의원,"울산광역시 남구 중앙로 14, 2층 202호 (야음동, 덕산플라자)",052-257-3421,0,2007-04-16,남구,의원
윤가정의학과의원,"울산광역시 북구 염포로 529, 303호 (양정동)",052-287-2300,0,2016-11-30,북구,의원
현대영상의학과의원,울산광역시 남구 삼산로 117 (달동),052-258-5536,0,1985-04-30,남구,의원
김앤김의원,울산광역시 동구 방어진순환도로 633 (일산동),052-233-7582,0,2004-01-14,동구,의원
창조피부과의원,"울산광역시 남구 삼산로267번길 8, 3층 (삼산동)",052-261-0056,0,1998-02-27,남구,의원
고옥산부인과의원,"울산광역시 남구 삼산로 269, 7층 (삼산동, 탑텐크리닉)",052-257-0075,3,2002-03-15,남구,의원
정소아청소년과의원,"울산광역시 남구 중앙로 243-1, 4층 (신정동)",052-266-9363,0,1992-03-28,남구,의원
다정흉부외과의원,"울산광역시 남구 삼산로 283, 소망빌딩 7층 (삼산동)",052-267-7582,0,2007-04-30,남구,의원
동해정신건강의학과의원,"울산광역시 남구 중앙로 239, 4층 (신정동)",052-261-1020,0,2016-02-23,남구,의원
호계연합내과진단방사선과의원,울산광역시 북구 호계로 326 (신천동),052-286-7585,0,2001-08-30,북구,의원
전재기이비인후과의원,울산광역시 중구 학성로 94-1 (성남동),052-243-6727,0,1984-03-13,중구,의원
신세계정형외과의원,울산광역시 중구 화합로 360-1 (반구동),052-296-2397,0,2006-09-01,중구,의원
마리포사산부인과의원,"울산광역시 중구 번영로 580, 5층 (남외동)",052-281-4454,0,2009-05-18,중구,의원
백봉력내과의원,"울산광역시 중구 번영로 485, 2~3층(일부)층 (약사동)",052-281-1061,8,2010-03-02,중구,의원
김환곤내과의원,"울산광역시 북구 호계로 292, 2층 (호계동)",052-295-6996,0,1996-02-09,북구,의원
제이에스의원,"울산광역시 중구 종가6길 4-5, 7층 (우정동)",052-708-7575,0,2019-12-26,중구,의원
신울산비뇨기과의원,"울산광역시 중구 명륜로 17, 6층 601호 (태화동, SNU우정병원)",052-211-5753,0,2016-03-25,중구,의원
주영여성의원,"울산광역시 남구 삼산로 136, 4층 (달동)",052-700-7580,0,2023-01-02,남구,의원
수암우리이비인후과의원,"울산광역시 남구 수암로 138, 8층 802호 (야음동)",052-268-7582,0,2004-04-30,남구,의원
굿마인드의원,"울산광역시 남구 중앙로 164, 2, 4층 (달동)",052-269-0167,0,2004-04-01,남구,의원
김은정소아과의원,"울산광역시 북구 명촌15길 10, 2층 201호 (명촌동, 평창리비에르3차상가)",052-288-5510,0,2003-12-30,북구,의원
애플의원,"울산광역시 남구 삼산로 17, 4층 (신정동, 애플타워)",052-256-1975,0,2014-04-10,남구,의원
우리들마취통증의학과의원,"울산광역시 동구 방어진순환도로 651, 401호 (일산동, 세움베스트)",052-201-9595,0,2001-10-04,동구,의원
고운빔의원,"울산광역시 북구 매곡로 115, 2층 (매곡동)",052-700-8889,0,2020-09-22,북구,의원
시원의원,"울산광역시 울주군 온양읍 대운길 45, 2층",052-239-6975,0,2013-02-19,울주군,의원
사랑마취통증의학과의원,"울산광역시 울주군 온산읍 덕신로 256, 3층",052-237-8880,0,2014-10-30,울주군,의원
정애경미즈유의원,울산광역시 남구 삼산로 281 (삼산동),052-261-6006,2,2009-10-08,남구,의원
코끼리이비인후과의원,"울산광역시 북구 아진로 76, 201호 (상안동, 맑음샘빌딩)",052-294-8275,0,2004-03-12,북구,의원
하이울산신경과의원,"울산광역시 중구 번영로 484, 3층 (반구동)",052-286-5300,0,2021-09-30,중구,의원
강남비뇨기과의원,"울산광역시 남구 삼산로 26, 2층 (신정동, 공업탑 하트랜드)",052-261-3200,0,2001-04-03,남구,의원
서울의원,울산광역시 울주군 온산읍 덕신로 266,052-238-8622,0,1993-09-07,울주군,의원
우정피부과의원,"울산광역시 중구 명륜로 17, 4층 (태화동)",052-249-7283,0,2010-06-29,중구,의원
이준호내과의원,"울산광역시 남구 삼산로278번길 8, 4층 (삼산동)",052-911-3300,0,2013-06-11,남구,의원
좋은산부인과의원,"울산광역시 남구 삼산로278번길 8, 3층 (삼산동)",052-261-1275,3,2010-09-30,남구,의원
서울산백준호정형외과의원,"울산광역시 울주군 범서읍 울밀로 2822, 2-5층",052-224-9100,17,2010-10-06,울주군,의원
온양센텀소아청소년과의원,"울산광역시 울주군 온양읍 온양로 105, 4~5층",052-707-0555,16,2018-03-08,울주군,의원
하나마취통증의학과의원,"울산광역시 남구 중앙로 14, 덕산프라자 2층 (야음동)",052-260-2022,0,2018-01-17,남구,의원
박상면내과의원,"울산광역시 동구 남목17길 4, 2층 (동부동)",052-252-8856,0,2013-04-29,동구,의원
365소아청소년과의원,"울산광역시 동구 방어진순환도로 645, 5층 (일산동)",052-201-3652,0,2016-01-26,동구,의원
류마장구본승내과의원,"울산광역시 중구 번영로 484, 2층 5층 (반구동)",052-292-0303,0,2015-05-28,중구,의원
굿모닝안과의원,"울산광역시 남구 삼산로 266, 2,3층 (삼산동, 굿모닝클리닉)",052-261-5909,8,1992-02-10,남구,의원
주효섭소아청소년과의원,울산광역시 동구 진성14길 90 (전하동),052-235-3733,0,1988-04-19,동구,의원
성모정형외과의원,울산광역시 남구 수암로 95 (신정동),052-260-7575,19,1993-05-22,남구,의원
화사한외과의원,"울산광역시 남구 삼산로 100, 3,5,6,7층 (달동)",052-716-1192,29,2017-03-27,남구,의원
오케이마취통증의학과의원,"울산광역시 남구 수암로 230, 401호 (야음동)",052-256-0200,0,2013-03-19,남구,의원
토마스의원,"울산광역시 중구 학성로 123, 2층 (옥교동)",052-246-3903,0,1998-05-29,중구,의원
신세계성형외과의원,"울산광역시 남구 삼산로267번길 6-10, 4층 (삼산동)",052-269-7070,0,2010-07-28,남구,의원
우리안과의원,"울산광역시 동구 대학길 76, 2층 (화정동)",052-252-6888,0,2002-09-14,동구,의원
뮤즈의원,"울산광역시 남구 삼산로277번길 8, 4층 (삼산동)",052-257-3375,0,2015-06-18,남구,의원
건강한내과의원,"울산광역시 남구 대학로 136, 4층 (무거동)",052-247-6813,0,1991-08-06,남구,의원
동구학문외과의원,울산광역시 동구 방어진순환도로 785 (전하동),052-232-0975,7,2003-09-05,동구,의원
이레성형외과의원,"울산광역시 남구 돋질로302번길 27, 3층 (삼산동)",052-275-5777,0,2007-06-27,남구,의원
울산밝은안과의원,"울산광역시 남구 삼산로 274, 6층 (삼산동)",052-267-2001,3,2009-11-24,남구,의원
앞선소아청소년과의원,"울산광역시 남구 수암로 130, 7층 (야음동, 메디어스빌딩)",052-244-7700,13,2017-04-03,남구,의원
르네상스의원,"울산광역시 남구 대공원로 241, 301,302,312,313호 (신정동, 대공원코오롱파크폴리스상가)",052-716-1249,0,2012-03-19,남구,의원
임채갑가정의학과의원,울산광역시 중구 태화로 184 (태화동),052-292-7582,0,2005-05-03,중구,의원
병영정형외과의원,"울산광역시 중구 번영로 566, 1층 (남외동)",052-293-7575,0,1998-12-10,중구,의원
김형규학문외과의원,"울산광역시 남구 북부순환도로 13, 5층 (무거동, 보령메디칼빌딩)",052-224-0717,4,1998-04-22,남구,의원
백신경외과정형외과의원,"울산광역시 남구 봉월로 172, 1,2,4,5층 (신정동)",052-267-4107,29,1992-08-19,남구,의원
박수연소아청소년과의원,"울산광역시 남구 대암로 69, 301~303호 (야음동)",052-260-7288,0,2000-03-09,남구,의원
밀크피부과의원,"울산광역시 남구 삼산로 270, 삼산동 Kim`s빌딩 5층 (삼산동)",052-258-9997,0,2018-03-21,남구,의원
눈사랑안과의원,"울산광역시 중구 번영로 580, SkyM빌딩 6층 (남외동)",052-282-7117,0,2014-03-17,중구,의원
언양닥터홍마취통증의학과의원,"울산광역시 울주군 언양읍 헌양길 4, 1~2층",052-254-3777,0,2015-02-09,울주군,의원
닥터적맥의원,"울산광역시 남구 삼산로 260, 6,8층 (삼산동)",052-267-3375,4,2004-06-18,남구,의원
울산성모안과의원,"울산광역시 남구 삼산로 201, 2층 (달동)",052-275-0775,20,1998-04-21,남구,의원
마디정형외과의원,울산광역시 동구 방어진순환도로 577 (화정동),052-235-5858,27,2009-02-17,동구,의원
강정형외과의원,울산광역시 동구 방어진순환도로 799 (전하동),052-235-4900,26,2004-10-12,동구,의원
우정성모안과의원,"울산광역시 중구 명륜로 17, 4층 (태화동, 태화빌딩)",052-211-0082,0,2011-03-02,중구,의원
서울연합의원,"울산광역시 중구 유곡로 29, 4층 (태화동)",052-212-2700,0,2010-12-08,중구,의원
우리이비인후과의원,"울산광역시 중구 유곡로 26, 2층 (우정동)",052-248-6565,0,2017-07-25,중구,의원
권이비인후과의원,"울산광역시 중구 번영로 580, 402호 (남외동, sky M빌딩)",052-298-7575,0,1992-07-09,중구,의원
필라톡스의원,"울산광역시 울주군 범서읍 울밀로 2826, 2층",052-707-6555,0,2022-12-23,울주군,의원
김성희산부인과의원,"울산광역시 남구 삼산로 283, 7층 (삼산동)",052-227-3606,0,2010-12-24,남구,의원
손병민산부인과의원,울산광역시 남구 삼산중로 86 (삼산동),052-273-7878,0,2005-07-21,남구,의원
영남이비인후과의원,"울산광역시 북구 가재길 87, 3층 (천곡동)",052-286-8277,0,2011-04-27,북구,의원
구호성내과의원,울산광역시 울주군 언양읍 남문길 13,052-262-8118,0,2001-02-17,울주군,의원
이경민소아과의원,울산광역시 남구 거마로118번길 17 (신정동),052-274-2229,0,1991-03-16,남구,의원
윤마취통증의학과의원,"울산광역시 남구 삼산로 179, 2~3층 (달동, 영빌딩)",052-256-5779,0,2013-04-22,남구,의원
권성운내과의원,"울산광역시 남구 문수로 331, 3층 (옥동)",052-256-1717,0,2002-01-05,남구,의원
서울의원,"울산광역시 남구 신복로72번길 28-14, 2층 (무거동)",052-277-2775,0,2001-05-18,남구,의원
김안과의원,울산광역시 남구 삼산로 12 (신정동),052-271-8272,0,1989-05-04,남구,의원
이브산부인과의원,울산광역시 남구 수암로 130 (야음동),052-276-8575,0,2004-04-10,남구,의원
스타케이의원,"울산광역시 남구 삼산로 272, 10층 (삼산동)",052-256-7585,0,2005-07-29,남구,의원
유사랑외과의원,"울산광역시 남구 삼산로 260, 9층 (삼산동, 주연클리닉)",052-260-6075,0,2005-01-27,남구,의원
미래이비인후과의원,울산광역시 남구 북부순환도로 23 (무거동),052-221-2653,0,2005-04-26,남구,의원
센텀쁘띠클리닉의원,"울산광역시 남구 울밀로 2906, 5층 502호 (무거동)",052-277-3008,0,2014-05-15,남구,의원
남부의원,"울산광역시 남구 중앙로 246, 1층 (신정동)",052-273-7268,0,1997-10-15,남구,의원
베러미의원,"울산광역시 남구 삼산로 266, 굿모닝클리닉 7층 (삼산동)",1660-1023,0,2023-10-05,남구,의원
박화정의원,"울산광역시 남구 중앙로 286-1, 2층 (신정동)",052-274-5600,0,1989-06-09,남구,의원
남종진다모의원,"울산광역시 남구 북부순환도로 11, 4층 (무거동)",052-224-0085,0,2010-12-16,남구,의원
이연경소아청소년과의원,"울산광역시 남구 수암로 138, 타임스퀘어 5층 (야음동)",052-257-7555,0,2005-03-18,남구,의원
다솜의원,울산광역시 중구 병영로 10 (남외동),052-294-9581,0,2004-02-17,중구,의원
키즈메디소아청소년과의원,"울산광역시 남구 신복로72번길 28-6, 2층 (무거동)",052-277-7797,0,2006-02-20,남구,의원
개구쟁이소아청소년과의원,"울산광역시 북구 달천로 9, 2층 202호 (천곡동)",052-294-7504,0,2007-03-05,북구,의원
이창훈정신건강의학과의원,"울산광역시 남구 대공원로 241, 4층 401호 (신정동, 대공원코오롱파크폴리스)",052-265-2051,0,2012-01-02,남구,의원
바른몸재활의학과의원,"울산광역시 남구 울밀로 2906, 한솔애플타워 6~7층 601, 702호 (무거동)",052-225-8875,0,2015-03-02,남구,의원
니와미즈 의원,"울산광역시 중구 종가6길 32, 9층 902호 (우정동, KL 빌딩)",052-245-8275,0,2017-03-06,중구,의원
대복의원,"울산광역시 울주군 웅촌면 삼동로 1613, 2층",052-222-2661,0,2007-02-23,울주군,의원
미즈아이산부인과의원,울산광역시 북구 화봉로 67 (화봉동),052-289-3200,0,2003-03-07,북구,의원
늘푸른산부인과의원,울산광역시 동구 방어진순환도로 1130 (서부동),052-233-2621,0,2003-03-18,동구,의원
평화의원,"울산광역시 중구 화합로 359, 1층 (반구동)",052-295-7506,0,2018-10-26,중구,의원
황인태영상의학과의원,"울산광역시 남구 삼산로 275, 7층 (삼산동, 킴스빌딩)",052-257-9275,0,2001-01-20,남구,의원
홍승범정신건강의학과의원,"울산광역시 남구 삼산로 15, 5층 (신정동, 세안빌딩)",052-272-0069,0,2001-09-14,남구,의원
제갈이비인후과의원,"울산광역시 남구 삼산로 25-1, 5층 (신정동)",052-267-4733,0,1998-11-04,남구,의원
주소아청소년과의원,"울산광역시 중구 종가4길 9, 3층 (유곡동)",052-248-0099,0,2015-05-21,중구,의원
하이맨비뇨기과의원,"울산광역시 남구 삼산로 277, 7층 (삼산동)",052-275-1110,0,2014-10-30,남구,의원
태강내과의원,"울산광역시 중구 번영로 475, 5층 (복산동, 홈플러스)",052-292-2975,0,2001-12-03,중구,의원
최창환내과의원,"울산광역시 중구 번영로 580, 5층 (남외동)",052-292-9240,0,1998-01-07,중구,의원
울산제일안과의원,"울산광역시 남구 중앙로 243-1, 6층 (신정동, 세보메디컬빌딩)",052-261-7591,0,2016-02-22,남구,의원
라마르의원,"울산광역시 남구 삼산로 251, 2층 (달동)",052-260-1310,0,2011-08-12,남구,의원
강남피부과의원,"울산광역시 남구 삼산로 257, 4층 (달동)",052-260-5522,0,1998-08-17,남구,의원
박성원외과의원,"울산광역시 중구 번영로 580, 201호 (남외동)",052-296-1053,0,1993-05-07,중구,의원
장안과의원,"울산광역시 중구 학성로 116, 2층 (옥교동)",052-243-5205,0,1994-09-17,중구,의원
미라클의원,"울산광역시 북구 호계로 298 (호계동, 3층)",052-298-5511,0,2012-03-21,북구,의원
노블의원,"울산광역시 남구 삼산로 275, 5층 (삼산동)",052-265-0056,0,2002-10-31,남구,의원
정비뇨기과의원,"울산광역시 북구 제내1길 2, 306호 (신천동, 필그린상가)",052-286-2286,0,2002-08-20,북구,의원
굿모닝이비인후과의원,"울산광역시 울주군 언양읍 반구대로 815, 3층",052-263-9525,0,2005-05-10,울주군,의원
하나정형외과의원,울산광역시 북구 염포로 521 (양정동),052-287-9853,21,2012-02-06,북구,의원
신화의원,"울산광역시 남구 삼산로 43, 2층 (신정동)",052-261-9500,0,2009-02-10,남구,의원
고운피부과의원,"울산광역시 남구 삼산로 274, 9층 (삼산동, W-Center)",052-269-3100,0,2007-08-02,남구,의원
연세엘레핀의원,"울산광역시 남구 삼산중로 69, 6층 (달동)",052-267-7004,0,2007-11-12,남구,의원
울산터의원,"울산광역시 남구 수암로 273, 울산티이오빌딩 3층 (야음동)",052-716-2500,0,2013-08-05,남구,의원
우리연합의원,울산광역시 동구 꽃바위로 350 (방어동),052-251-0829,0,2016-08-26,동구,의원
상쾌한연합이비인후과의원,울산광역시 동구 진성14길 118 (전하동),052-252-7570,0,2014-05-07,동구,의원
구영365소아청소년과의원,"울산광역시 울주군 범서읍 구영로 86, 5층 501호 (지엠프라자)",052-248-3650,21,2008-02-28,울주군,의원
김수현내과의원,"울산광역시 중구 번영로 564, 5층 (남외동)",052-296-4200,0,2012-02-14,중구,의원
아우라의원,"울산광역시 남구 삼산로 275, 6층 (삼산동)",052-265-1122,0,2015-09-07,남구,의원
채영수피부과의원,"울산광역시 남구 삼산로 273, 8,9층일부층 (삼산동, 삼산타워)",052-261-0778,0,2010-03-12,남구,의원
서울헤어의원,"울산광역시 남구 삼산중로 65, 7층 (달동)",052-922-5827,0,2015-09-02,남구,의원
속편한김내과의원,"울산광역시 울주군 온산읍 덕신로 279, 수산업협동조합(온산점) 2층",052-237-1199,0,2019-01-04,울주군,의원
진하의원,"울산광역시 울주군 서생면 진하길 10, 1층",052-239-7562,0,2004-04-03,울주군,의원
온양밝은안과의원,"울산광역시 울주군 온양읍 남창1길 50, 3층",052-707-7582,0,2017-07-10,울주군,의원
김은규산부인과의원,"울산광역시 남구 수암로 134, 일중학원 302호 (야음동)",052-268-0003,0,2010-03-08,남구,의원
참사랑가정의학과의원,울산광역시 중구 학성로 173 (학성동),052-297-6080,0,2006-06-30,중구,의원
열린정형외과의원,"울산광역시 울주군 범서읍 굴화2길 2, 4~5층",052-222-8275,0,2020-02-03,울주군,의원
강선영산부인과의원,"울산광역시 울주군 범서읍 굴화2길 2, 3층",052-225-5004,0,2020-02-03,울주군,의원
동산이비인후과의원,"울산광역시 동구 대학길 75, 2층 (화정동)",052-232-4600,0,2009-08-31,동구,의원
엘리스의원,"울산광역시 남구 돋질로302번길 35, 3, 4층 (삼산동)",052-268-1205,0,2013-03-04,남구,의원
조윤성내과의원,"울산광역시 북구 신답로 48, 3층 6호 (상안동, 프리지아)",052-293-7171,0,2009-03-03,북구,의원
민사랑내과의원,"울산광역시 북구 아진로 102, 201호 (천곡동, 그린상가)",052-292-1111,0,2009-09-03,북구,의원
동울산영상의학과의원,"울산광역시 동구 방어진순환도로 633, 9층 (일산동, 세인트예스타워)",052-236-7799,0,2001-01-02,동구,의원
행복한비뇨기과의원,울산광역시 남구 대학로 136 (무거동),052-222-0007,0,2002-04-12,남구,의원
푸른비뇨기과의원,"울산광역시 남구 삼산로 281, 6층 (삼산동, 정&정빌딩)",052-260-4800,0,2002-03-15,남구,의원
나은정형외과의원,울산광역시 남구 중앙로 242 (신정동),052-268-5612,0,2001-08-10,남구,의원
현대연합의원,"울산광역시 남구 대학로147번길 41-42, 2층 (무거동, 경남은행 무거동지점)",052-223-5130,0,2015-08-11,남구,의원
센텀정형외과의원,"울산광역시 남구 삼산로 260, 5층 (삼산동, 주연클리닉빌딩)",052-251-8575,0,2014-04-09,남구,의원
새울산정형외과의원,"울산광역시 남구 수암로 42, 2, 4층 (신정동)",052-276-9787,0,2013-08-08,남구,의원
김창환마취통증의학과의원,"울산광역시 남구 대학로 138, 3층 (무거동, 신정빌딩)",052-277-8888,0,2003-02-11,남구,의원
수마취통증의학과의원,"울산광역시 남구 대학로 136, 3층 (무거동)",052-222-4688,0,2013-01-17,남구,의원
울산선암의원,울산광역시 남구 두왕로64번길 5-14 (선암동),052-275-6322,0,2005-05-02,남구,의원
이창우외과의원,울산광역시 동구 방어진순환도로 505 (방어동),052-233-7272,8,1992-12-17,동구,의원
지아이연합내과의원,"울산광역시 남구 중앙로 243-1, 5, 8층 (신정동)",052-256-7253,0,2012-12-11,남구,의원
이바담그룹의원,"울산광역시 남구 삼산로 266, 10층 (삼산동, 굿모닝클리닉)",052-272-6630,0,2002-10-18,남구,의원
강남피부과의원,"울산광역시 북구 호계로 332-1, 205호 (신천동, 현대하이플러스상가)",052-286-5523,0,2005-07-07,북구,의원
미래신경외과의원,울산광역시 북구 호계6길 34 (호계동),052-298-7582,8,2002-03-15,북구,의원
다린흉부외과의원,"울산광역시 남구 삼산로 171, 4층 (달동)",052-700-7010,2,2020-04-29,남구,의원
주연의원,"울산광역시 남구 삼산로 260, 2 6층일부층 (삼산동)",052-243-2030,0,2013-04-01,남구,의원
아이온의원,"울산광역시 남구 삼산중로 65, 5층 (달동)",052-275-5333,0,2015-03-19,남구,의원
황만근내과의원,"울산광역시 울주군 범서읍 천상길 17, 1층",052-248-7760,0,2016-05-18,울주군,의원
김선권한의원의원,울산광역시 울주군 언양읍 헌양길 37,052-254-9990,0,2006-04-14,울주군,의원
나눔이의료소비자생활협동조합 대향학문의원,"울산광역시 남구 삼산로 283, 6층 (삼산동, 소망빌딩)",052-258-4744,9,2012-02-28,남구,의원
서울탑비뇨기과의원,"울산광역시 남구 삼산로 260, 11층 (삼산동, 주연클리닉)",052-276-5995,0,2005-11-01,남구,의원
다나산부인과의원,울산광역시 남구 삼산로 266 (삼산동),052-266-9777,2,1998-10-15,남구,의원
굿모닝이비인후과의원,"울산광역시 북구 화봉로 67, 4층 (화봉동)",052-287-4287,0,2014-01-22,북구,의원
전용진정형외과의원,"울산광역시 남구 삼산로 266, 5층 (삼산동, 굿모닝클리닉)",052-260-0504,4,2016-09-05,남구,의원
공업탑강남피부과의원,"울산광역시 남구 삼산로 8, 2층 (신정동)",052-260-5523,0,2005-11-01,남구,의원
울산베스트피부과의원,"울산광역시 남구 대학로 138, 2층 (무거동, 신정빌딩)",052-225-1750,0,2016-03-11,남구,의원
메이린의원울산점,"울산광역시 남구 삼산로 261, 13층 (삼산동, 현대백화점)",052-228-1388,0,2016-10-21,남구,의원
눈의꽃성형외과의원,"울산광역시 남구 삼산로 270, 8층 (삼산동, 삼산동 Kim s빌딩)",052-258-3111,0,2017-04-26,남구,의원
눈높이안과의원,"울산광역시 남구 삼산로 254, 5,6층 (달동)",052-700-7582,5,2012-12-14,남구,의원
강서정형외과의원,울산광역시 중구 북부순환도로 107 (다운동),052-249-1501,29,2020-12-17,중구,의원
창조피부과의원,울산광역시 동구 방어진순환도로 925 (서부동),052-252-8575,0,1994-04-15,동구,의원
동부사랑의원,"울산광역시 남구 수암로 134, 일중학원 2층 202호 (야음동)",052-271-1498,0,2017-01-02,남구,의원
서울정형외과의원,"울산광역시 남구 굴화4길 1, 2층 (무거동)",052-224-2157,0,2016-06-14,남구,의원
봄정신건강의학과의원,"울산광역시 중구 번영로 580, 4층 401호 (남외동, SkyM빌딩)",052-281-7900,0,2017-05-29,중구,의원
울산아이가정의학과의원,"울산광역시 울주군 범서읍 장검길 79, 소정빌딩 3층",052-221-0900,0,2021-07-30,울주군,의원
호계연세안과의원,울산광역시 북구 호계로 324 (신천동),052-286-0106,0,2000-09-07,북구,의원
센트럴성모안과의원,"울산광역시 북구 매산로 15, 지상2층 202호 (매곡동)",052-931-1004,0,2018-12-24,북구,의원
세화연합정형외과의원,울산광역시 동구 방어진순환도로 725 (전하동),052-232-0001,27,2003-12-12,동구,의원
더조은안과의원,"울산광역시 남구 수암로 130, 4층 (야음동)",052-716-7075,0,2016-05-23,남구,의원
달빛여성의원,울산광역시 남구 삼산로267번길 8 (삼산동),052-910-2221,0,2016-01-15,남구,의원
맑은이비인후과의원,"울산광역시 남구 삼산로 269, 6층 (삼산동)",052-298-3500,3,2018-04-24,남구,의원
유영훈내과의원,"울산광역시 남구 삼산로 24, 2층 (신정동)",052-260-3539,0,1994-04-13,남구,의원
순풍산부인과의원,울산광역시 남구 북부순환도로 10 (무거동),052-222-8833,0,2005-03-02,남구,의원
리더스서울안과의원,"울산광역시 남구 삼산로 269, 4층 (삼산동, 탑텐클리닉빌딩)",052-260-3301,0,2015-07-31,남구,의원
강마디내과의원,울산광역시 동구 방어진순환도로 785 (전하동),052-232-0875,0,2016-07-15,동구,의원
한결의원,"울산광역시 북구 산하중앙2로 290, 305,306호 (산하동, 아이스케어)",052-268-8227,0,2016-11-21,북구,의원
